0,2015-03-04,一起来见见《暴雨》的“亲祖宗”,那些年咱们玩儿过的互动电影游戏……的“亲祖宗”
1,2014-06-10,Zombies Ate My Neighbor,游戏编年史 怀旧
2,2014-06-05,【游戏编年史】Blagger,游戏编年史
3,2014-04-26,当我打机时，我谈些什么,当有人问我花那么多钱打游戏有什么用花那么多时间看书有什么用花那么多精力写没人看的东西有什么用的时候，我也想回答些什么，但怎么也说不好。当我发现我不能做一个好游戏写一本好书做一件大事的时候，我也开始质疑自己 ——直到想到老山内的那句话： “游戏不是生活的必需品，当游戏不再有趣，就会马上被人遗弃。 ”
4,2014-04-17,『游戏编年史』Peter Moore,『游戏编年史』Peter Moore
5,2014-04-13,『游戏编年史』Whale’s Voyage,『游戏编年史』Whale’s Voyage
6,2014-04-10,『游戏编年史』A-10坠落:单机网游分水岭,怀旧 模拟飞行 EA
7,2014-04-01,【开发者自述】Diablo II开发的得与失,diablo 开发者 怀旧
8,2014-03-13,《Ghostbusters》你知道这些就够了！,告诉你些电影杂志上不可能告诉你的秘密！～
9,2014-03-06,中国古早FM音源部分游戏音乐提取+播放器,国产怀旧游戏音乐
10,2014-02-17,Zeewolf,怀旧 STG
11,2014-02-17,Rick Dangerous 2,怀旧 ACT
12,2014-02-17,Rick Dangerous,怀旧 ACT
13,2014-02-13,Twinbee Love!~,一个游戏漫画！～
14,2014-02-09,游戏历代记——Skyfox系列历代回顾,怀旧 skyfox
15,2013-12-17,迷之游戏主题的牛奶盖！～,我可不希望三元，光明的牛奶上印着剑３，神仙道的游戏角色！～
16,2013-11-26,已经发生的游戏史,三大主机（Xbox，PlayStation，Wii）鼎立的局面维持了这么多年，为什么没有再出现像 SEGA 这样的挑战者加入团战？那个问题翻译过来，其实就是“为什么游戏业会发展成现在这样？作为擂台上剩下的斗士，任天堂和SONY坚持下来的原因恐怕是无处可去，而微软继续战争的理由则是不愿放弃当初占领客厅的梦想...
17,2013-11-07,龟中的F4-少年突变忍者龟！～,《忍者神龟》绝对是80年代卡通文化的图腾！～
18,2013-11-05,《ゲームになった映画たち 完全版》！~,电影改编游戏和游戏改编电影，一直都是大家关注和厌恶的话题，《Gameside》编辑部为此出版了本专著，罗列出黑历史中的种种喋血之作！～
19,2013-10-29,《ダイナマイト刑事2》与海贼们的斗争！～,3D动作清版游戏我玩儿的最多的还是《ダイナマイト刑事2》！～
20,2013-10-28,神的孩子都喷火-《卡诺夫》！～,Data East公司的吉祥物比马里奥，索尼克那些看着霸道多了！～
21,2013-10-24,怀古名作3D化之《青蛙过河3D》！～,我最爱3DS的一点就是，能玩到不少怀旧名作的重制版！～
22,2013-10-17,回到港产片吓哭你的时代-《灵幻道士》！～,看多了西洋僵尸，咱们也来点儿本土的吧！～
23,2013-10-15,怪逼的《トリオ・ザ・パンチ》！~,Data East公司最怪的游戏当属《トリオ・ザ・パンチ》！～
